Student_ID,High_School_Graduation_GPA,Daily_Study_Hours,Weekly_Study_Hours,Field_of_Study,Gender,School_Type,Region,General_Study_Environment,Favorite_Subject,Target_University,Career_Goal,Exam_Stress_Level,OBP_to_be_Added_to_Score,TYT_Score,AYT_Score
673,77.45,8.0,47.4,Numerical,Female,Public,Marmara,Home,Physics,State University,Doctor,7,46.5,274.086,342.163
674,77.27,8.1,39.9,Verbal,Male,Public,Black Sea,Home,Literature,State University,Teacher,2,46.4,328.1,376.722
675,86.53,7.9,54.7,Verbal,Female,Public,Marmara,Cram School,Literature,Bogazici University (State),Journalist,6,51.9,367.469,383.44
676,76.71,5.9,33.5,Numerical,Female,Public,Central Anatolia,Home,History,Ankara University (State),Physicist,2,46.0,319.645,335.287
677,73.87,4.7,27.9,Numerical,Male,Private,Marmara,Cram School,Mathematics,Ankara University (State),Engineer,5,44.3,333.285,319.32
678,60.84,3.5,23.8,Verbal,Male,Public,Central Anatolia,Home,Geography,State University,Psychologist,10,36.5,241.308,306.494
679,53.35,2.4,12.8,Numerical,Female,Public,Eastern Anatolia,Home,Physics,Foundation University,Engineer,4,32.0,253.182,276.526
680,67.65,5.6,27.8,Numerical,Male,Public,Black Sea,Library,Mathematics,State University,Engineer,5,40.6,318.837,317.365
681,95.79,5.9,28.0,Numerical,Female,Public,Black Sea,Cram School,Chemistry,METU (State),Software Developer,4,57.5,322.361,399.025
682,66.96,7.0,41.9,Numerical,Male,Public,Aegean,Home,Biology,Bogazici University (State),Doctor,9,40.2,262.545,284.162
683,90.21,7.9,46.5,Numerical,Male,Private,Mediterranean,Library,Biology,Sabanci University (Foundation),Doctor,2,54.1,369.355,382.369
684,52.2,5.6,26.6,Equal Weight,Male,Private,Aegean,Home,History,Hacettepe University (State),Journalist,0,31.3,305.907,274.71
685,94.14,7.2,49.7,Numerical,Male,Private,Marmara,Cram School,Physics,Hacettepe University (State),Software Developer,3,56.5,378.727,390.125
686,59.77,4.0,23.2,Equal Weight,Male,Public,Central Anatolia,Home,Mathematics,Foundation University,Physicist,11,35.9,261.115,260.973
687,59.56,6.3,29.9,Numerical,Male,Public,Aegean,Mixed,Mathematics,Bogazici University (State),Engineer,6,35.7,290.758,266.21
688,57.32,3.5,16.0,Equal Weight,Female,Private,Black Sea,Mixed,Geography,Hacettepe University (State),Engineer,8,34.4,242.404,277.421
689,56.96,3.1,14.5,Equal Weight,Male,Private,Marmara,Mixed,Geography,State University,Psychologist,11,34.2,264.365,263.55
690,62.72,6.5,31.2,Verbal,Male,Private,Eastern Anatolia,Home,Literature,Foundation University,Teacher,1,37.6,294.005,324.546
691,55.0,3.9,27.1,Foreign Language,Female,Public,Aegean,Library,English,Sabanci University (Foundation),Artist,0,33.0,272.699,322.648
692,73.81,6.0,34.5,Numerical,Male,Public,Aegean,Home,Mathematics,Sabanci University (Foundation),Physicist,2,44.3,336.364,337.36
693,91.82,8.8,52.1,Numerical,Male,Public,Marmara,Library,Physics,ITU (State),Doctor,6,55.1,362.73,383.56
694,75.25,5.8,27.7,Equal Weight,Male,Private,Mediterranean,Home,History,State University,Doctor,11,45.2,297.424,295.441
695,99.44,9.1,45.3,Verbal,Male,Private,Central Anatolia,Cram School,History,Sabanci University (Foundation),Teacher,1,59.7,411.669,410.343
696,86.76,5.7,28.3,Numerical,Male,Private,Marmara,Home,Physics,Ankara University (State),Physicist,9,52.1,340.229,353.727
697,85.21,8.2,47.9,Foreign Language,Female,Public,Eastern Anatolia,Cram School,French,State University,Translator,3,51.1,363.64,404.766
698,97.72,6.8,32.5,Equal Weight,Female,Private,Central Anatolia,Home,Literature,Bilkent University (Foundation),Lawyer,3,58.6,348.168,402.426
699,65.41,5.5,32.8,Equal Weight,Male,Private,Central Anatolia,Home,Mathematics,Foundation University,Physicist,10,39.2,274.756,300.882
700,91.62,9.3,45.1,Equal Weight,Female,Private,Central Anatolia,Cram School,Physics,Hacettepe University (State),Engineer,9,55.0,371.719,359.112
701,72.42,6.3,43.8,Numerical,Male,Private,Marmara,Home,Mathematics,ITU (State),Doctor,4,43.5,317.261,350.175
702,57.75,6.2,36.4,Verbal,Male,Public,Marmara,Home,Literature,State University,Teacher,10,34.6,234.371,277.7
703,51.69,5.2,30.2,Equal Weight,Female,Private,Aegean,Mixed,Mathematics,Foundation University,Psychologist,6,31.0,280.377,272.268
704,76.73,4.8,27.4,Numerical,Female,Public,Marmara,Home,Mathematics,Hacettepe University (State),Physicist,4,46.0,324.324,345.975
705,62.58,7.0,40.9,Verbal,Female,Public,Central Anatolia,Home,Mathematics,ITU (State),Lawyer,8,37.5,285.896,313.922
706,84.2,5.8,39.7,Equal Weight,Female,Public,Central Anatolia,Home,Mathematics,Ankara University (State),Psychologist,4,50.5,357.877,318.565
707,68.77,5.6,26.0,Equal Weight,Male,Private,Marmara,Mixed,History,ITU (State),Data Analyst,8,41.3,300.288,307.538
708,84.0,6.1,28.5,Verbal,Male,Private,Marmara,Library,Literature,Hacettepe University (State),Social Worker,6,50.4,322.593,366.009
709,65.75,3.9,17.7,Numerical,Female,Public,Marmara,Library,Chemistry,Foundation University,Engineer,2,39.4,287.498,300.543
710,94.67,7.8,54.5,Verbal,Female,Private,Marmara,Mixed,Literature,Koc University (Foundation),Psychologist,8,56.8,384.178,417.222
711,85.31,6.6,31.3,Numerical,Female,Private,Central Anatolia,Home,Biology,Foundation University,Engineer,9,51.2,364.968,364.082
712,67.96,6.3,36.1,Equal Weight,Female,Public,Central Anatolia,Library,Geography,Foundation University,Teacher,1,40.8,301.832,334.878
713,79.32,5.5,31.5,Numerical,Female,Private,Marmara,Cram School,Physics,Koc University (Foundation),Engineer,1,47.6,368.485,387.843
714,70.24,4.3,20.1,Verbal,Male,Private,Central Anatolia,Library,Literature,State University,Social Worker,1,42.1,307.2,328.325
715,70.77,4.6,32.1,Equal Weight,Female,Public,Central Anatolia,Home,Mathematics,State University,Data Analyst,10,42.5,285.95,286.02
716,61.09,3.3,18.5,Verbal,Male,Public,Marmara,Mixed,Literature,Bogazici University (State),Psychologist,5,36.7,258.895,294.251
717,64.36,7.0,33.1,Verbal,Male,Public,Central Anatolia,Mixed,Geography,ITU (State),Lawyer,8,38.6,289.25,313.705
718,64.79,6.9,41.0,Equal Weight,Female,Public,Aegean,Mixed,History,Foundation University,Physicist,4,38.9,311.518,348.21
719,95.68,6.1,29.8,Numerical,Male,Public,Aegean,Library,History,Ankara University (State),Doctor,7,57.4,387.302,355.346
720,62.05,6.5,44.6,Equal Weight,Female,Public,Marmara,Library,Geography,Koc University (Foundation),Psychologist,8,37.2,275.812,331.196
721,68.47,5.0,23.6,Foreign Language,Male,Private,Central Anatolia,Home,Literature,Ankara University (State),Writer,7,41.1,325.886,308.617
722,94.14,9.4,65.2,Foreign Language,Male,Private,Marmara,Cram School,German,Bilkent University (Foundation),Artist,7,56.5,412.319,399.392
723,65.88,4.6,30.9,Equal Weight,Female,Public,Black Sea,Home,History,State University,Journalist,6,39.5,306.02,273.244
724,69.34,4.6,31.6,Equal Weight,Female,Private,Marmara,Home,History,Bilkent University (Foundation),Psychologist,1,41.6,324.232,351.364
725,53.59,2.5,11.4,Equal Weight,Male,Private,Marmara,Cram School,History,Sabanci University (Foundation),Lawyer,4,32.2,233.974,281.074
726,93.52,7.4,36.1,Equal Weight,Male,Public,Aegean,Library,History,Bilkent University (Foundation),Data Analyst,8,56.1,331.932,358.849
727,83.71,6.6,46.2,Equal Weight,Male,Private,Black Sea,Home,Physics,Foundation University,Data Analyst,10,50.2,319.771,306.693
728,65.31,5.3,26.4,Equal Weight,Male,Public,Mediterranean,Mixed,History,Bogazici University (State),Psychologist,2,39.2,352.212,293.475
729,84.37,6.2,29.7,Numerical,Female,Public,Marmara,Mixed,Biology,Foundation University,Data Analyst,9,50.6,322.043,336.386
730,80.66,5.5,27.0,Verbal,Male,Public,Marmara,Mixed,Geography,Koc University (Foundation),Teacher,3,48.4,319.618,359.779
731,96.09,7.3,36.4,Verbal,Male,Public,Central Anatolia,Mixed,Mathematics,State University,Journalist,4,57.7,343.129,371.538
732,74.61,6.0,35.1,Numerical,Female,Private,Central Anatolia,Cram School,Physics,Bogazici University (State),Physicist,2,44.8,321.639,376.428
733,53.53,2.5,13.1,Verbal,Female,Public,Aegean,Home,Literature,State University,Lawyer,6,32.1,238.544,253.635
734,82.09,5.2,35.4,Verbal,Female,Private,Aegean,Cram School,Literature,Ankara University (State),Psychologist,10,49.3,337.298,344.217
735,65.72,4.7,26.7,Verbal,Male,Private,Central Anatolia,Cram School,History,Foundation University,Social Worker,8,39.4,292.776,309.35
736,64.71,5.8,27.1,Verbal,Female,Private,Marmara,Mixed,Literature,Foundation University,Psychologist,7,38.8,266.936,287.257
737,67.6,4.4,20.1,Verbal,Male,Public,Central Anatolia,Mixed,Geography,METU (State),Lawyer,4,40.6,275.261,328.074
738,55.29,5.4,30.7,Foreign Language,Male,Private,Central Anatolia,Mixed,Literature,Bogazici University (State),Teacher,7,33.2,279.68,262.995
739,77.49,7.9,46.8,Numerical,Female,Public,Aegean,Home,Physics,Koc University (Foundation),Engineer,9,46.5,311.92,339.363
740,59.1,6.1,42.1,Numerical,Male,Private,Mediterranean,Cram School,Physics,State University,Engineer,3,35.5,310.211,346.221
741,63.95,5.8,34.7,Numerical,Female,Private,Aegean,Mixed,Physics,Foundation University,Physicist,8,38.4,278.961,311.549
742,91.38,8.8,60.5,Verbal,Male,Private,Marmara,Library,History,METU (State),Lawyer,6,54.8,372.843,400.709
743,55.2,4.9,33.6,Equal Weight,Female,Public,Central Anatolia,Mixed,Geography,Foundation University,Journalist,6,33.1,272.271,256.312
744,86.04,5.3,36.3,Numerical,Male,Public,Marmara,Home,Mathematics,State University,Doctor,3,51.6,312.695,354.295
745,82.82,7.1,41.0,Verbal,Male,Public,Eastern Anatolia,Library,Geography,Bogazici University (State),Psychologist,4,49.7,308.01,348.24
746,84.37,7.5,44.2,Verbal,Female,Private,Marmara,Library,Literature,State University,Social Worker,3,50.6,347.963,374.912
747,72.85,4.1,24.1,Numerical,Female,Private,Aegean,Mixed,Physics,METU (State),Physicist,6,43.7,297.14,316.753
748,95.61,6.7,46.1,Numerical,Female,Private,Black Sea,Library,Literature,Ankara University (State),Physicist,4,57.4,396.492,401.284
749,68.69,6.1,42.1,Equal Weight,Female,Public,Aegean,Mixed,Geography,State University,Software Developer,6,41.2,318.639,301.474
750,78.65,6.2,35.7,Foreign Language,Male,Public,Black Sea,Cram School,English,State University,Translator,2,47.2,322.019,339.761
751,55.94,3.3,14.7,Equal Weight,Male,Public,Central Anatolia,Home,Literature,Foundation University,Data Analyst,5,33.6,256.908,259.882
752,99.59,8.0,55.1,Verbal,Female,Public,Eastern Anatolia,Library,Geography,Bogazici University (State),Lawyer,3,59.8,404.849,389.826
753,92.04,6.9,46.6,Verbal,Female,Private,Central Anatolia,Cram School,History,Ankara University (State),Teacher,6,55.2,358.82,383.785
754,85.83,5.9,28.6,Equal Weight,Female,Public,Aegean,Home,Geography,Bogazici University (State),Data Analyst,1,51.5,351.82,373.465
755,85.29,7.9,38.0,Numerical,Female,Public,Eastern Anatolia,Mixed,Chemistry,Bogazici University (State),Data Analyst,8,51.2,331.639,346.3
756,76.49,4.2,28.0,Verbal,Male,Public,Marmara,Library,History,Foundation University,Social Worker,3,45.9,321.705,334.975
757,58.27,6.1,41.4,Numerical,Male,Public,Eastern Anatolia,Mixed,Physics,Sabanci University (Foundation),Software Developer,8,35.0,275.846,311.192
758,92.54,9.1,62.1,Numerical,Female,Private,Eastern Anatolia,Home,Biology,Ankara University (State),Engineer,2,55.5,372.717,409.949
759,56.62,5.2,34.8,Numerical,Male,Private,Black Sea,Library,Physics,METU (State),Software Developer,8,34.0,277.839,292.581
760,74.59,6.0,29.3,Equal Weight,Male,Public,Central Anatolia,Mixed,Mathematics,Bogazici University (State),Social Worker,2,44.8,339.844,325.201
761,91.65,5.9,28.5,Numerical,Female,Private,Eastern Anatolia,Library,Physics,Koc University (Foundation),Software Developer,10,55.0,334.378,310.197
762,59.5,6.0,28.7,Verbal,Male,Private,Marmara,Mixed,Literature,Foundation University,Teacher,3,35.7,293.58,339.121
763,50.2,2.5,13.0,Equal Weight,Male,Public,Black Sea,Home,Mathematics,ITU (State),Doctor,3,30.1,245.623,257.209
764,73.73,5.8,34.7,Equal Weight,Female,Private,Marmara,Mixed,Mathematics,State University,Journalist,3,44.2,319.37,332.696
765,78.66,8.1,47.5,Verbal,Male,Public,Mediterranean,Cram School,Literature,Foundation University,Social Worker,2,47.2,318.992,390.347
766,91.85,6.4,43.5,Numerical,Male,Private,Marmara,Cram School,Mathematics,ITU (State),Engineer,4,55.1,375.803,380.207
767,91.87,6.6,38.5,Equal Weight,Female,Private,Mediterranean,Mixed,Geography,ITU (State),Lawyer,7,55.1,317.986,363.458
768,93.92,6.5,38.2,Verbal,Male,Private,Aegean,Cram School,Literature,METU (State),Teacher,10,56.4,365.439,353.316
769,86.54,8.6,58.8,Numerical,Female,Public,Mediterranean,Library,Mathematics,Ankara University (State),Physicist,8,51.9,326.221,360.979
770,64.01,4.9,27.6,Verbal,Female,Public,Eastern Anatolia,Home,Mathematics,Foundation University,Psychologist,0,38.4,270.889,315.96
771,78.5,7.5,51.4,Equal Weight,Male,Public,Southeastern Anatolia,Home,Physics,ITU (State),Data Analyst,6,47.1,322.553,308.58
772,59.72,6.6,31.1,Equal Weight,Male,Private,Marmara,Mixed,Physics,Bilkent University (Foundation),Psychologist,4,35.8,297.391,308.889
773,61.0,5.1,29.3,Numerical,Male,Private,Black Sea,Home,Physics,State University,Engineer,2,36.6,272.548,335.533
774,67.21,6.7,45.6,Numerical,Male,Public,Marmara,Mixed,Mathematics,State University,Physicist,7,40.3,297.676,302.47
775,83.54,7.6,36.8,Equal Weight,Female,Public,Central Anatolia,Library,Mathematics,State University,Psychologist,9,50.1,326.558,351.521
776,72.43,4.1,19.0,Numerical,Female,Public,Marmara,Home,Chemistry,Foundation University,Engineer,3,43.5,305.593,319.984
777,89.22,7.4,42.7,Numerical,Female,Private,Mediterranean,Mixed,Mathematics,Ankara University (State),Doctor,5,53.5,337.364,378.892
778,85.96,4.9,23.1,Numerical,Female,Private,Aegean,Home,Chemistry,Foundation University,Engineer,2,51.6,360.021,369.119
779,82.19,8.3,39.8,Verbal,Male,Public,Central Anatolia,Cram School,History,METU (State),Social Worker,6,49.3,311.502,352.606
780,55.95,5.7,26.7,Equal Weight,Female,Public,Marmara,Home,Mathematics,State University,Data Analyst,3,33.6,265.399,306.78
781,71.82,4.6,22.8,Verbal,Female,Private,Central Anatolia,Home,Literature,Foundation University,Teacher,9,43.1,298.965,315.316
782,71.41,6.1,42.7,Foreign Language,Male,Public,Central Anatolia,Home,German,ITU (State),Translator,6,42.8,304.089,318.41
783,56.12,4.7,32.3,Numerical,Male,Public,Eastern Anatolia,Home,Mathematics,Foundation University,Software Developer,2,33.7,264.763,304.971
784,66.35,3.7,24.4,Numerical,Male,Public,Southeastern Anatolia,Mixed,Physics,Ankara University (State),Software Developer,10,39.8,285.669,302.159
785,54.26,2.9,20.1,Numerical,Female,Private,Marmara,Home,Physics,Foundation University,Software Developer,8,32.6,267.331,262.087
786,68.3,6.4,43.7,Verbal,Male,Public,Eastern Anatolia,Home,Literature,Sabanci University (Foundation),Lawyer,4,41.0,299.287,313.963
787,77.26,4.9,28.3,Foreign Language,Male,Public,Marmara,Home,Mathematics,State University,Artist,8,46.4,277.417,291.689
788,81.07,7.3,49.7,Numerical,Female,Public,Marmara,Library,Chemistry,State University,Doctor,2,48.6,380.925,380.726
789,82.08,5.7,27.3,Equal Weight,Female,Public,Mediterranean,Mixed,Geography,State University,Physicist,1,49.2,336.094,354.316
790,69.72,4.0,19.8,Equal Weight,Male,Private,Eastern Anatolia,Cram School,Geography,METU (State),Psychologist,4,41.8,294.74,332.935
791,82.22,6.4,31.8,Equal Weight,Male,Public,Mediterranean,Home,Mathematics,Ankara University (State),Lawyer,9,49.3,367.808,322.554
792,99.74,7.8,46.4,Verbal,Male,Private,Central Anatolia,Cram School,Geography,Ankara University (State),Psychologist,10,59.8,352.816,397.177
793,76.72,8.0,54.0,Equal Weight,Male,Public,Central Anatolia,Library,Geography,ITU (State),Engineer,2,46.0,334.767,358.367
794,97.41,9.7,46.6,Equal Weight,Male,Private,Marmara,Library,History,METU (State),Teacher,9,58.4,375.055,404.666
795,63.5,4.4,20.9,Numerical,Female,Public,Aegean,Mixed,Chemistry,State University,Software Developer,11,38.1,258.314,274.892
796,68.2,4.5,31.5,Verbal,Male,Public,Mediterranean,Mixed,Geography,Foundation University,Journalist,1,40.9,334.635,341.709
797,68.49,6.0,34.8,Numerical,Male,Public,Marmara,Mixed,Literature,Foundation University,Doctor,2,41.1,298.371,291.163
798,78.54,6.0,28.6,Verbal,Female,Public,Aegean,Mixed,History,Bilkent University (Foundation),Social Worker,5,47.1,315.886,318.908
799,97.16,7.2,41.4,Numerical,Male,Public,Mediterranean,Home,Physics,Koc University (Foundation),Physicist,3,58.3,363.212,400.922
800,95.94,8.5,49.7,Foreign Language,Female,Public,Aegean,Library,French,Bogazici University (State),Teacher,10,57.6,349.635,370.498
801,76.73,5.9,41.3,Equal Weight,Female,Private,Marmara,Library,Geography,Bilkent University (Foundation),Lawyer,4,46.0,313.857,345.264
802,70.4,6.8,32.9,Equal Weight,Female,Public,Central Anatolia,Home,Literature,State University,Physicist,8,42.2,316.96,299.351
803,60.58,3.0,19.2,Equal Weight,Male,Private,Eastern Anatolia,Home,History,State University,Journalist,5,36.3,275.422,289.954
804,57.87,5.6,32.3,Verbal,Female,Public,Central Anatolia,Home,Geography,Sabanci University (Foundation),Social Worker,3,34.7,281.804,332.68
805,98.24,8.4,41.2,Verbal,Female,Private,Eastern Anatolia,Library,Geography,ITU (State),Teacher,1,58.9,380.25,398.608
806,72.52,5.0,28.2,Equal Weight,Female,Private,Aegean,Home,Physics,Foundation University,Journalist,1,43.5,345.721,324.138
807,52.71,5.1,33.7,Verbal,Male,Private,Central Anatolia,Home,Literature,Ankara University (State),Teacher,1,31.6,299.632,304.418
808,50.63,5.8,34.7,Equal Weight,Female,Private,Central Anatolia,Home,Geography,State University,Software Developer,3,30.4,266.152,290.283
809,59.15,5.8,40.6,Numerical,Female,Private,Aegean,Mixed,Chemistry,State University,Data Analyst,2,35.5,309.249,344.507
810,86.07,5.2,35.7,Equal Weight,Female,Public,Black Sea,Library,Literature,ITU (State),Physicist,5,51.6,317.869,344.939
811,79.46,7.2,42.1,Numerical,Male,Public,Central Anatolia,Library,Physics,Bilkent University (Foundation),Software Developer,9,47.7,331.139,362.254
812,98.42,6.5,31.2,Equal Weight,Female,Public,Marmara,Library,Literature,ITU (State),Engineer,6,59.1,381.102,375.761
813,70.38,6.7,39.2,Numerical,Female,Public,Mediterranean,Home,History,Foundation University,Data Analyst,11,42.2,302.104,294.374
814,59.85,4.8,31.6,Verbal,Male,Private,Aegean,Home,Literature,Bogazici University (State),Teacher,5,35.9,294.586,289.094
815,64.1,6.9,40.6,Equal Weight,Female,Private,Black Sea,Mixed,Mathematics,Bogazici University (State),Social Worker,3,38.5,308.859,326.507
816,69.28,4.5,25.6,Equal Weight,Female,Private,Central Anatolia,Home,Mathematics,Bogazici University (State),Journalist,3,41.6,301.34,320.525
817,58.47,4.6,30.4,Equal Weight,Male,Public,Central Anatolia,Home,History,Hacettepe University (State),Teacher,9,35.1,283.893,273.551
818,51.77,2.8,18.4,Foreign Language,Male,Public,Southeastern Anatolia,Home,English,ITU (State),Artist,6,31.1,266.284,281.817
819,65.4,5.2,30.5,Numerical,Male,Private,Eastern Anatolia,Home,Physics,State University,Software Developer,7,39.2,308.309,308.505
820,51.6,6.0,36.0,Equal Weight,Male,Public,Central Anatolia,Home,History,State University,Teacher,7,31.0,255.072,285.842
821,97.23,6.0,34.1,Numerical,Female,Public,Eastern Anatolia,Library,Mathematics,Sabanci University (Foundation),Engineer,6,58.3,354.143,379.368
822,51.29,3.6,24.0,Numerical,Female,Public,Aegean,Mixed,Chemistry,Foundation University,Engineer,4,30.8,235.423,301.936
823,89.18,8.3,40.8,Foreign Language,Male,Public,Central Anatolia,Mixed,Mathematics,State University,Translator,7,53.5,336.658,335.423
824,68.13,4.5,26.8,Numerical,Female,Private,Aegean,Mixed,Biology,Ankara University (State),Data Analyst,4,40.9,300.648,340.193
825,74.22,7.9,46.8,Equal Weight,Female,Private,Marmara,Library,Literature,Foundation University,Psychologist,5,44.5,304.18,374.552
826,51.39,3.9,27.2,Verbal,Female,Private,Eastern Anatolia,Home,History,State University,Lawyer,4,30.8,249.233,264.444
827,67.81,5.8,39.8,Foreign Language,Male,Public,Eastern Anatolia,Home,English,State University,Translator,7,40.7,276.435,306.111
828,82.51,7.5,44.3,Equal Weight,Male,Public,Eastern Anatolia,Home,Geography,State University,Journalist,3,49.5,336.563,363.606
829,91.31,5.5,31.2,Equal Weight,Male,Private,Black Sea,Mixed,Geography,State University,Data Analyst,5,54.8,361.592,346.741
830,75.02,5.1,28.8,Foreign Language,Female,Public,Central Anatolia,Home,German,Koc University (Foundation),Artist,7,45.0,312.289,315.765
831,92.25,6.5,31.7,Foreign Language,Male,Private,Aegean,Mixed,English,Sabanci University (Foundation),Writer,9,55.4,321.955,345.044
832,66.92,5.9,40.9,Verbal,Male,Public,Marmara,Cram School,Literature,Sabanci University (Foundation),Journalist,2,40.2,314.544,351.876
833,51.94,3.6,17.5,Equal Weight,Female,Public,Central Anatolia,Library,Literature,Foundation University,Engineer,5,31.2,240.11,260.09
834,83.24,7.4,43.4,Numerical,Male,Public,Central Anatolia,Library,Physics,State University,Data Analyst,3,49.9,364.005,375.192
835,52.07,5.2,25.1,Verbal,Female,Private,Marmara,Cram School,Mathematics,State University,Journalist,7,31.2,234.439,261.35
836,94.15,5.6,37.4,Verbal,Female,Public,Marmara,Home,Physics,Hacettepe University (State),Social Worker,9,56.5,351.903,356.742
837,92.79,8.7,60.0,Numerical,Male,Private,Marmara,Library,Chemistry,Hacettepe University (State),Engineer,6,55.7,378.07,414.723
838,93.16,6.1,34.8,Equal Weight,Male,Private,Marmara,Library,Geography,Sabanci University (Foundation),Lawyer,3,55.9,374.045,373.918
839,86.36,5.9,39.8,Numerical,Female,Public,Marmara,Library,Chemistry,State University,Data Analyst,6,51.8,317.242,362.245
840,69.42,3.7,20.3,Equal Weight,Male,Public,Mediterranean,Cram School,Geography,Koc University (Foundation),Engineer,8,41.7,268.551,298.222
841,51.91,6.1,41.1,Equal Weight,Female,Public,Central Anatolia,Home,Physics,ITU (State),Software Developer,2,31.1,260.199,299.028
842,76.25,4.7,31.5,Numerical,Male,Private,Central Anatolia,Mixed,Chemistry,Ankara University (State),Engineer,1,45.8,327.578,367.437
843,73.96,5.5,38.3,Verbal,Female,Public,Marmara,Library,History,State University,Psychologist,7,44.4,281.963,327.025
844,73.79,5.0,33.7,Equal Weight,Male,Private,Central Anatolia,Home,History,Foundation University,Software Developer,3,44.3,336.019,323.716
845,56.12,6.0,35.9,Verbal,Male,Public,Marmara,Cram School,History,Foundation University,Journalist,8,33.7,250.761,278.095
846,69.49,6.7,39.0,Verbal,Male,Public,Mediterranean,Home,History,Bogazici University (State),Journalist,2,41.7,325.177,359.536
847,73.84,6.0,34.2,Numerical,Male,Public,Marmara,Mixed,Mathematics,Foundation University,Engineer,10,44.3,330.896,314.14
848,75.25,6.1,36.3,Numerical,Female,Public,Central Anatolia,Mixed,Physics,State University,Doctor,7,45.2,313.062,342.488
849,60.03,4.1,24.5,Verbal,Female,Public,Mediterranean,Home,Literature,Foundation University,Teacher,1,36.0,324.978,322.503
850,59.86,6.4,44.7,Numerical,Male,Public,Mediterranean,Home,Physics,Foundation University,Software Developer,4,35.9,293.022,343.144
851,73.21,4.2,28.0,Verbal,Female,Public,Aegean,Home,Physics,State University,Journalist,8,43.9,284.508,283.818
852,78.6,6.5,45.1,Numerical,Female,Private,Black Sea,Library,Literature,METU (State),Doctor,5,47.2,341.472,320.0
853,90.32,6.0,34.1,Verbal,Female,Private,Marmara,Home,History,Bilkent University (Foundation),Teacher,6,54.2,363.227,390.479
854,96.61,7.7,52.8,Numerical,Female,Private,Black Sea,Home,Chemistry,Bogazici University (State),Engineer,6,58.0,351.049,409.803
855,67.08,7.1,41.6,Verbal,Male,Public,Black Sea,Library,History,Foundation University,Social Worker,10,40.2,294.823,316.779
856,59.64,5.0,34.0,Verbal,Female,Public,Marmara,Mixed,History,METU (State),Journalist,4,35.8,282.396,325.108
857,87.82,5.7,33.4,Verbal,Male,Public,Mediterranean,Home,Literature,Foundation University,Teacher,2,52.7,328.388,377.99
858,95.83,9.3,55.0,Equal Weight,Female,Public,Southeastern Anatolia,Cram School,Literature,Koc University (Foundation),Software Developer,7,57.5,389.466,364.687
859,69.16,5.0,24.5,Equal Weight,Male,Public,Marmara,Home,Mathematics,State University,Physicist,3,41.5,307.957,331.65
860,59.76,6.6,44.5,Equal Weight,Male,Public,Marmara,Home,History,Foundation University,Lawyer,3,35.9,300.146,302.967
861,99.18,8.7,41.8,Foreign Language,Female,Private,Aegean,Library,English,Hacettepe University (State),Teacher,10,59.5,375.008,407.299
862,76.44,6.6,44.6,Equal Weight,Female,Private,Central Anatolia,Library,Geography,Foundation University,Physicist,10,45.9,313.157,312.04
863,75.53,4.5,29.5,Equal Weight,Female,Public,Central Anatolia,Home,Geography,METU (State),Lawyer,5,45.3,311.37,320.284
864,97.49,8.1,46.7,Equal Weight,Female,Private,Central Anatolia,Mixed,Mathematics,Bilkent University (Foundation),Physicist,5,58.5,366.671,422.452
865,90.08,8.2,39.6,Foreign Language,Male,Public,Aegean,Library,French,METU (State),Translator,6,54.0,337.432,363.247
866,56.45,3.2,15.4,Numerical,Female,Public,Central Anatolia,Mixed,History,State University,Physicist,4,33.9,256.628,277.25
867,56.74,4.6,21.2,Numerical,Male,Private,Marmara,Mixed,Chemistry,Hacettepe University (State),Software Developer,7,34.0,258.833,286.114
868,61.49,6.3,30.0,Numerical,Female,Public,Eastern Anatolia,Mixed,Physics,State University,Engineer,4,36.9,265.361,305.068
869,86.97,5.8,34.1,Equal Weight,Female,Public,Aegean,Cram School,Mathematics,Koc University (Foundation),Physicist,7,52.2,321.498,352.993
870,92.5,5.9,28.1,Equal Weight,Female,Private,Mediterranean,Mixed,Literature,METU (State),Doctor,10,55.5,328.274,311.821
871,80.03,7.3,41.9,Foreign Language,Male,Public,Aegean,Home,German,Foundation University,Translator,9,48.0,292.893,345.733
872,84.32,5.1,24.5,Foreign Language,Female,Public,Southeastern Anatolia,Home,English,Hacettepe University (State),Teacher,2,50.6,315.842,339.932
873,55.17,3.1,18.3,Verbal,Male,Public,Marmara,Home,History,Foundation University,Journalist,6,33.1,255.833,276.991
874,66.24,6.3,42.9,Verbal,Female,Private,Eastern Anatolia,Home,History,State University,Social Worker,10,39.7,283.466,325.445
875,74.77,5.0,24.9,Equal Weight,Male,Public,Aegean,Home,Geography,State University,Doctor,3,44.9,313.249,312.612
876,77.58,7.8,46.2,Numerical,Male,Private,Aegean,Cram School,Mathematics,State University,Physicist,1,46.5,338.776,384.598
877,54.42,3.7,24.4,Equal Weight,Female,Private,Central Anatolia,Home,Geography,Koc University (Foundation),Journalist,8,32.7,295.131,274.807
878,99.69,9.9,67.5,Equal Weight,Female,Private,Marmara,Mixed,Literature,State University,Software Developer,4,59.8,388.458,422.924
879,56.99,5.1,25.3,Equal Weight,Male,Public,Marmara,Home,Literature,Foundation University,Lawyer,6,34.2,294.797,292.063
880,99.81,7.2,42.5,Numerical,Female,Private,Marmara,Library,Mathematics,Hacettepe University (State),Software Developer,3,59.9,369.967,416.891
